
######## global 0x09E38920: 77 disp32 cands, 74 verified insns
  0x01357FE2  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8ae093c]
  0x01358315  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8ae0609]
  0x0135881C  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8ae0102]
  0x01358B60  fn 0x01357280..0x01358E20 [read ] mov eax, dword ptr [rip + 0x8adfdbe]
  0x0135A61D  fn 0x0135A56B..0x0135A62A [read ] cmp edi, dword ptr [rip + 0x8ade301]
  0x0135C0FE  fn 0x0135C0D9..0x0135CA47 [read ] cmp eax, dword ptr [rip + 0x8adc820]
  0x0135C2E1  fn 0x0135C0D9..0x0135CA47 [read ] mov eax, dword ptr [rip + 0x8adc63d]
  0x0135C5C3  fn 0x0135C0D9..0x0135CA47 [read ] mov eax, dword ptr [rip + 0x8adc35b]
  0x0135C8A9  fn 0x0135C0D9..0x0135CA47 [read ] mov eax, dword ptr [rip + 0x8adc075]
  0x01366501  fn 0x0136636A..0x01366803 [read ] mov eax, dword ptr [rip + 0x8ad241d]
  0x01366A63  fn 0x01366845..0x01366DCA [read ] mov eax, dword ptr [rip + 0x8ad1ebb]
  0x0136A8B7  fn 0x0136A684..0x0136A917 [read ] mov eax, dword ptr [rip + 0x8ace067]
  0x0136BE57  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8accac7]
  0x0136C284  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acc69a]
  0x0136C763  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acc1bb]
  0x0136CC97  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acbc87]
  0x0136CFC9  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acb955]
  0x0136D35E  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acb5c0]
  0x0136D6C9  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acb255]
  0x0136DBF9  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8acad25]
  0x0136DF62  fn 0x0136BC70..0x0136E338 [read ] mov eax, dword ptr [rip + 0x8aca9bc]
  0x031EE920  fn 0x031EE6F1..0x031EEBDB [read ] mov eax, dword ptr [rip + 0x6c49ffe]
  0x031EEB8C  fn 0x031EE6F1..0x031EEBDB [read ] mov eax, dword ptr [rip + 0x6c49d92]
  0x03244940  fn 0x03244840..0x0324498F [read ] mov eax, dword ptr [rip + 0x6bf3fde]
  0x0365F0EE  fn 0x0365F099..0x0365F371 [read ] mov ecx, dword ptr [rip + 0x67d9830]
  0x0365F48E  fn 0x0365F439..0x0365F6B9 [read ] mov ecx, dword ptr [rip + 0x67d9490]
  0x0365F7CE  fn 0x0365F779..0x0365FA46 [read ] mov ecx, dword ptr [rip + 0x67d9150]
  0x039A58EA  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x6493034]
  0x039A5CF5  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x6492c29]
  0x039A6117  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x6492807]
  0x039A6522  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x64923fc]
  0x039A69CE  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x6491f50]
  0x039A6CAF  fn 0x039A57A0..0x039A6FD0 [read ] mov eax, dword ptr [rip + 0x6491c6f]
  0x039AA81E  fn 0x039AA7F9..0x039AB127 [read ] cmp eax, dword ptr [rip + 0x648e100]
  0x039AA92A  fn 0x039AA7F9..0x039AB127 [read ] mov eax, dword ptr [rip + 0x648dff4]
  0x039AAC20  fn 0x039AA7F9..0x039AB127 [read ] mov eax, dword ptr [rip + 0x648dcfe]
  0x039AAED0  fn 0x039AA7F9..0x039AB127 [read ] mov eax, dword ptr [rip + 0x648da4e]
  0x039B4DCC  fn 0x039B4D73..0x039B4F4B [read ] mov eax, dword ptr [rip + 0x6483b52]
  0x039B51FF  fn 0x039B5160..0x039B55A9 [read ] mov eax, dword ptr [rip + 0x648371f]
  0x039BC31D  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647c601]
  0x039BC652  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647c2cc]
  0x039BCA1D  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647bf01]
  0x039BCEAD  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647ba71]
  0x039BD28A  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647b694]
  0x039BD57A  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647b3a4]
  0x039BD85A  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647b0c4]
  0x039BDD17  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647ac07]
  0x039BE017  fn 0x039BC210..0x039BE470 [read ] mov eax, dword ptr [rip + 0x647a907]
  0x04C068AB  fn 0x04C06890..0x04C068BB [read ] mov eax, dword ptr [rip + 0x5232073]
  0x04C06986  fn 0x04C06970..0x04C0698F [read ] mov eax, dword ptr [rip + 0x5231f98]
  0x04C47BEC  fn 0x04C47BD8..0x04C47C00 [read ] mov eax, dword ptr [rip + 0x51f0d32]

######## global 0x09E38928: 3 disp32 cands, 4 verified insns
  0x0129ACBC  fn 0x0129AC9A..0x0129ACDA [WRITE] cmp dword ptr [rip + 0x8b9dc65], 0
  0x0135D86E  fn 0x0135D710..0x0135D94B [WRITE] cmp dword ptr [rip + 0x8adb0b4], ebp
  0x013776BC  fn 0x013774F0..0x0137782C [WRITE] mov dword ptr [rip + 0x8ac1266], ecx
  0x013777ED  fn 0x013774F0..0x0137782C [read ] mov edx, dword ptr [rip + 0x8ac1135]

######## global 0x09E3892C: 5 disp32 cands, 5 verified insns
  0x011DC9E3  fn 0x011DC47B..0x011DCB5C [WRITE] cmp byte ptr [rip + 0x8c5bf42], r12b
  0x01206806  fn 0x01206244..0x012068B1 [WRITE] cmp byte ptr [rip + 0x8c3211f], r15b
  0x0129ACC6  fn 0x0129AC9A..0x0129ACDA [WRITE] test byte ptr [rip + 0x8b9dc60], al
  0x012D390C  fn 0x012D3871..0x012D3978 [WRITE] cmp byte ptr [rip + 0x8b65019], dil
  0x0403372D  fn 0x04032CDE..0x04034862 [WRITE] cmp byte ptr [rip + 0x5e051f8], sil

######## global 0x09E38930: 711 disp32 cands, 691 verified insns
  0x011B6DBE  fn 0x011B6D90..0x011B6E00 [read ] mov rax, qword ptr [rip + 0x8c81b6b]
  0x011B80E6  fn 0x011B80A5..0x011B846C [read ] mov rax, qword ptr [rip + 0x8c80843]
  0x011B8121  fn 0x011B80A5..0x011B846C [read ] mov rax, qword ptr [rip + 0x8c80808]
  0x011B81ED  fn 0x011B80A5..0x011B846C [read ] mov rax, qword ptr [rip + 0x8c8073c]
  0x011B8333  fn 0x011B80A5..0x011B846C [read ] mov rax, qword ptr [rip + 0x8c805f6]
  0x011BE871  fn 0x011BE770..0x011BE90D [read ] mov rax, qword ptr [rip + 0x8c7a0b8]
  0x011C7373  fn 0x011C72D8..0x011C73DF [read ] mov rax, qword ptr [rip + 0x8c715b6]
  0x011C74DB  fn 0x011C745F..0x011C7549 [read ] mov rax, qword ptr [rip + 0x8c7144e]
  0x011C9ADD  fn 0x011C9AAA..0x011C9B17 [read ] mov rax, qword ptr [rip + 0x8c6ee4c]
  0x011C9D0B  fn 0x011C9B30..0x011C9D6E [read ] mov rax, qword ptr [rip + 0x8c6ec1e]
  0x011CC060  fn 0x011CC000..0x011CC1F2 [read ] mov rax, qword ptr [rip + 0x8c6c8c9]
  0x011CC113  fn 0x011CC000..0x011CC1F2 [read ] mov rax, qword ptr [rip + 0x8c6c816]
  0x011D3203  fn 0x011D31E2..0x011D32A0 [read ] mov rax, qword ptr [rip + 0x8c65726]
  0x011DBEC8  fn 0x011DBCB0..0x011DBF99 [read ] mov rax, qword ptr [rip + 0x8c5ca61]
  0x011DCA02  fn 0x011DC47B..0x011DCB5C [read ] mov rax, qword ptr [rip + 0x8c5bf27]
  0x011DCFA8  fn 0x011DCDCA..0x011DD017 [read ] mov rax, qword ptr [rip + 0x8c5b981]
  0x011DF472  fn 0x011DF418..0x011DF4F6 [read ] mov rax, qword ptr [rip + 0x8c594b7]
  0x011E1C64  fn 0x011E1B97..0x011E1CBD [read ] mov rax, qword ptr [rip + 0x8c56cc5]
  0x011E1CD3  fn 0x011E1CBD..0x011E1E74 [read ] mov rax, qword ptr [rip + 0x8c56c56]
  0x011E1D39  fn 0x011E1CBD..0x011E1E74 [read ] mov rax, qword ptr [rip + 0x8c56bf0]
  0x011EB7D8  fn 0x011EB770..0x011EB8C2 [read ] mov rax, qword ptr [rip + 0x8c4d151]
  0x011F9B23  fn 0x011F9B16..0x011F9B58 [read ] mov rax, qword ptr [rip + 0x8c3ee06]
  0x01202B46  fn 0x01202B40..0x01202BD3 [read ] mov r8, qword ptr [rip + 0x8c35de3]
  0x01202FA1  fn 0x01202F8C..0x0120302B [read ] mov r9, qword ptr [rip + 0x8c35988]
  0x01203012  fn 0x01202F8C..0x0120302B [read ] mov r9, qword ptr [rip + 0x8c35917]
  0x01203118  fn 0x01203086..0x0120313F [read ] mov rax, qword ptr [rip + 0x8c35811]
  0x01203AC9  fn 0x01203A70..0x01203C6E [read ] mov rax, qword ptr [rip + 0x8c34e60]
  0x01203B83  fn 0x01203A70..0x01203C6E [read ] mov rax, qword ptr [rip + 0x8c34da6]
  0x01203C00  fn 0x01203A70..0x01203C6E [read ] mov rax, qword ptr [rip + 0x8c34d29]
  0x01205945  fn 0x01205770..0x01205C1B [read ] mov rax, qword ptr [rip + 0x8c32fe4]
  0x012059B3  fn 0x01205770..0x01205C1B [read ] mov rax, qword ptr [rip + 0x8c32f76]
  0x01205B0B  fn 0x01205770..0x01205C1B [read ] mov rax, qword ptr [rip + 0x8c32e1e]
  0x01205B55  fn 0x01205770..0x01205C1B [read ] mov rax, qword ptr [rip + 0x8c32dd4]
  0x0120673B  fn 0x01206244..0x012068B1 [read ] mov rax, qword ptr [rip + 0x8c321ee]
  0x01206827  fn 0x01206244..0x012068B1 [read ] mov rax, qword ptr [rip + 0x8c32102]
  0x01206890  fn 0x01206244..0x012068B1 [read ] mov rax, qword ptr [rip + 0x8c32099]
  0x012095BB  fn 0x012094F0..0x012095E0 [read ] mov rax, qword ptr [rip + 0x8c2f36e]
  0x0120C15F  fn 0x0120C044..0x0120C735 [read ] mov rax, qword ptr [rip + 0x8c2c7ca]
  0x0120E71D  fn 0x0120E690..0x0120E77B [read ] mov rax, qword ptr [rip + 0x8c2a20c]
  0x0120F0A2  fn 0x0120F070..0x0120F0D5 [read ] mov rax, qword ptr [rip + 0x8c29887]
  0x0120F13F  fn 0x0120F0D5..0x0120F208 [read ] mov rax, qword ptr [rip + 0x8c297ea]
  0x0120F1DD  fn 0x0120F0D5..0x0120F208 [read ] mov rax, qword ptr [rip + 0x8c2974c]
  0x012107F5  fn 0x01210452..0x01211919 [read ] mov rax, qword ptr [rip + 0x8c28134]
  0x0121082B  fn 0x01210452..0x01211919 [read ] mov rax, qword ptr [rip + 0x8c280fe]
  0x01213762  fn 0x01213720..0x0121383B [read ] mov rax, qword ptr [rip + 0x8c251c7]
  0x01215D56  fn 0x01215CB0..0x0121614E [read ] mov rax, qword ptr [rip + 0x8c22bd3]
  0x01215E70  fn 0x01215CB0..0x0121614E [read ] mov rax, qword ptr [rip + 0x8c22ab9]
  0x01216729  fn 0x01216710..0x01216772 [read ] mov r9, qword ptr [rip + 0x8c22200]
  0x01216835  fn 0x01216772..0x01216862 [read ] mov r9, qword ptr [rip + 0x8c220f4]
