class,name,thunk_rva,verdict,new_vs_v1,note
ALokiBattleRoyaleGameMode,CanUseBotDeathCircle,0x52D4F60,REAL,no,impl 0x52D4F60: 40534883ec20488b42204533c94885c0
ALokiBattleRoyaleGameMode,OnDeathCircleBegins,0x52D74C0,REAL,no,impl 0x52D74C0: 488b42204533c04885c0410f95c04c03
ALokiBattleRoyaleSpawner,ActivateForDeathCirclePhase,0x52D4C30,REAL,no,tail-call target 0x55F0BA0 on dark page 0x55F0000; wrapper's own prologue looked real
ALokiBattleRoyaleSpawner,AlignToTerrain,0x5254180,STRIPPED,no,wrapper-hides-stub 0x5254180 -> tail-jmp 0xF7EC20 -> fold: void_ret (c2 00 00)
ALokiBattleRoyaleSpawner,CheckValidLocation,0x52D4F90,REAL,no,impl 0x52D4F90: 48895c240848896c2418565741564883
ALokiBattleRoyaleSpawner,DelayedSpawn,0x52D5300,DARK,no,page 0x52D5000 all-zero
ALokiBattleRoyaleSpawner,DelayedSpawnFromConfig,0x52D5320,DARK,no,page 0x52D5000 all-zero
ALokiBattleRoyaleSpawner,DestroyChildActor,0x52D54C0,DARK,no,page 0x52D5000 all-zero
ALokiBattleRoyaleSpawner,GetSpawnConfigForCirclePhase,0x52D6A60,DARK,no,page 0x52D6000 all-zero
ALokiBattleRoyaleSpawner,GetSpawnConfigForPhase,0x52D6C10,DARK,no,page 0x52D6000 all-zero
ALokiBattleRoyaleSpawner,GetSpawnedChildren,0x52D6DB0,DARK,no,page 0x52D6000 all-zero
ALokiBattleRoyaleSpawner,GetSpawnedChildrenLivingCharacterCount,0x52D6E60,DARK,no,page 0x52D6000 all-zero
ALokiBattleRoyaleSpawner,GetSpawnerGroundLocation,0x52D6E90,DARK,no,page 0x52D6000 all-zero
ALokiBattleRoyaleSpawner,HasDelayedSpawn,0x52D7450,REAL,no,tail-call target 0x5602560 on dark page 0x5602000; wrapper's own prologue looked real
ALokiBattleRoyaleSpawner,OverrideSpawnConfigs,0x52D74E0,REAL,no,impl 0x52D74E0: 48895c24084889742410574883ec4033
