path,file_size,streams,nmodules,game_base,game_size,nthreads,n_mem,n_mem64,n_ranges,bytes_captured,bytes_in_stacks,bytes_in_image,ranges_in_image,n_meminfo,meminfo_bytes,residual,max_range_end_rva,C1,C2,C4
dumps\crashpad-20260805-230951-s111-newNM2\reports\975f7bc9-ec69-4714-86f0-c5a9415cfb54.dmp,43680432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,151,751,0,751,41046002,40062976,0,0,40795,1958176,2634430,43680432,1,1,1
dumps\crashpad-20260805-230959\reports\975f7bc9-ec69-4714-86f0-c5a9415cfb54.dmp,43680432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,151,751,0,751,41046002,40062976,0,0,40795,1958176,2634430,43680432,1,1,1
dumps\crashpad-20260805-231646-s111-oldNM5\reports\9153ee65-9706-4f79-b653-2fb1b2fe8b50.dmp,42846432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,153,755,0,755,40619778,39624704,0,0,31397,1507072,2226654,42846432,1,1,1
dumps\crashpad-20260805-231653\reports\9153ee65-9706-4f79-b653-2fb1b2fe8b50.dmp,42846432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,153,755,0,755,40619778,39624704,0,0,31397,1507072,2226654,42846432,1,1,1
dumps\crashpad-20260805-233911-s111ab-A1r1\reports\cfdd0096-f4a8-4c5d-850f-f551e7d83634.dmp,43731120,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,151,751,0,751,41054194,40071168,0,0,40851,1960864,2676926,43731120,1,1,1
dumps\crashpad-20260805-233918\reports\cfdd0096-f4a8-4c5d-850f-f551e7d83634.dmp,43731120,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,151,751,0,751,41054194,40071168,0,0,40851,1960864,2676926,43731120,1,1,1
dumps\crashpad-20260805-233955-s111ab-A1r2\reports\6b62f3fa-224c-4579-9d45-5eeabfab6c53.dmp,43694304,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,152,753,0,753,41109370,40120320,0,0,39298,1886320,2584934,43694304,1,1,1
dumps\crashpad-20260805-234002\reports\6b62f3fa-224c-4579-9d45-5eeabfab6c53.dmp,43694304,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,152,753,0,753,41109370,40120320,0,0,39298,1886320,2584934,43694304,1,1,1
dumps\crashpad-20260805-234147-s111ab-A1r4\reports\59ca3de5-92d4-4767-bd5e-3a864c91412c.dmp,41488880,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,134,717,0,717,38850538,37969920,0,0,40854,1961008,2638342,41488880,1,1,1
dumps\crashpad-20260805-234154\reports\59ca3de5-92d4-4767-bd5e-3a864c91412c.dmp,41488880,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,134,717,0,717,38850538,37969920,0,0,40854,1961008,2638342,41488880,1,1,1
dumps\crashpad-20260805-234559-s111ab-B2r2\reports\c3b1b52c-7dd7-4b9c-9160-778908d1084a.dmp,41256144,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,144,737,0,737,39037754,38096896,0,0,31331,1503904,2218390,41256144,1,1,1
dumps\crashpad-20260805-234606\reports\c3b1b52c-7dd7-4b9c-9160-778908d1084a.dmp,41256144,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,144,737,0,737,39037754,38096896,0,0,31331,1503904,2218390,41256144,1,1,1
dumps\crashpad-20260805-234850-s111ab-B2r5\reports\702ee15a-63b7-42da-acbb-e72079e1d2e7.dmp,43408976,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,156,761,0,761,41137562,40124416,0,0,31351,1504864,2271414,43408976,1,1,1
dumps\crashpad-20260805-234857\reports\702ee15a-63b7-42da-acbb-e72079e1d2e7.dmp,43408976,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,156,761,0,761,41137562,40124416,0,0,31351,1504864,2271414,43408976,1,1,1
dumps\crashpad-20260805-235002-s111ab-B2r6\reports\702ee15a-63b7-42da-acbb-e72079e1d2e7.dmp,43408976,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,156,761,0,761,41137562,40124416,0,0,31351,1504864,2271414,43408976,1,1,1
dumps\crashpad-20260805-235017\reports\702ee15a-63b7-42da-acbb-e72079e1d2e7.dmp,43408976,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,156,761,0,761,41137562,40124416,0,0,31351,1504864,2271414,43408976,1,1,1
dumps\crashpad-20260805-235529-s111ab-A2r5\reports\0315cb47-de79-4396-a919-8fefe83ebebe.dmp,41497776,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,135,719,0,719,38799218,37912576,0,0,40925,1964416,2698558,41497776,1,1,1
dumps\crashpad-20260805-235536\reports\0315cb47-de79-4396-a919-8fefe83ebebe.dmp,41497776,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,135,719,0,719,38799218,37912576,0,0,40925,1964416,2698558,41497776,1,1,1
dumps\crashpad-20260805-235601-s111ab-A2r6\reports\443b9e94-f87e-4633-b8fc-94c83cc70012.dmp,43314432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,157,763,0,763,41200930,40181760,0,0,28957,1389952,2113502,43314432,1,1,1
dumps\crashpad-20260805-235616\reports\443b9e94-f87e-4633-b8fc-94c83cc70012.dmp,43314432,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,157,763,0,763,41200930,40181760,0,0,28957,1389952,2113502,43314432,1,1,1
dumps\crashpad-20260805-235648-s111ab-B3r1\reports\06d4cd2c-fdce-4349-85ab-37a3b4335050.dmp,43861072,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,155,759,0,759,41156114,40148992,0,0,40683,1952800,2704958,43861072,1,1,1
dumps\crashpad-20260805-235654\reports\06d4cd2c-fdce-4349-85ab-37a3b4335050.dmp,43861072,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,155,759,0,759,41156114,40148992,0,0,40683,1952800,2704958,43861072,1,1,1
dumps\crashpad-20260805-235818-s111ab-B3r3\reports\cfedb35e-9eba-46d9-ace6-e0b32b9c98a8.dmp,8201408,3 4 5 6 7 12 14 15 16 24 1129316353,204,0x7ff6505c0000,0xa9e1000,149,715,0,715,6680552,5718016,0,0,20929,1004608,1520856,8201408,1,1,1
dumps\crashpad-20260805-235825\reports\cfedb35e-9eba-46d9-ace6-e0b32b9c98a8.dmp,8201408,3 4 5 6 7 12 14 15 16 24 1129316353,204,0x7ff6505c0000,0xa9e1000,149,715,0,715,6680552,5718016,0,0,20929,1004608,1520856,8201408,1,1,1
dumps\crashpad-20260805-235930-s111ab-B3r4\reports\cfedb35e-9eba-46d9-ace6-e0b32b9c98a8.dmp,8201408,3 4 5 6 7 12 14 15 16 24 1129316353,204,0x7ff6505c0000,0xa9e1000,149,715,0,715,6680552,5718016,0,0,20929,1004608,1520856,8201408,1,1,1
dumps\crashpad-20260805-235936\reports\cfedb35e-9eba-46d9-ace6-e0b32b9c98a8.dmp,8201408,3 4 5 6 7 12 14 15 16 24 1129316353,204,0x7ff6505c0000,0xa9e1000,149,715,0,715,6680552,5718016,0,0,20929,1004608,1520856,8201408,1,1,1
dumps\crashpad-20260806-000010-s111ab-B3r5\reports\a62a2996-353f-4a30-8f4c-1708fc4e3081.dmp,43432704,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,151,751,0,751,41123826,40140800,0,0,33050,1586416,2308878,43432704,1,1,1
dumps\crashpad-20260806-000010-s111ab-B3r5\reports\cfedb35e-9eba-46d9-ace6-e0b32b9c98a8.dmp,8201408,3 4 5 6 7 12 14 15 16 24 1129316353,204,0x7ff6505c0000,0xa9e1000,149,715,0,715,6680552,5718016,0,0,20929,1004608,1520856,8201408,1,1,1
