path,dir,va,declsize,filesize,sha256,mz,pe,allzero,nonzero,entropy,head16,insns,cov,invalid
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FFA3E120000_10000.bin,crash-20260815-200514,0x7ffa3e120000,0x10000,65536,8ffdb5a72dc8e986d8e588a20a68cf7fde9e67f4589b547d1b81439836827b70,0,0,0,448,0.0989,4883ec48498bc1e99b100100e94fd219,166,386,3710
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FFA3FA50000_A000.bin,crash-20260815-200514,0x7ffa3fa50000,0xa000,40960,64e206da3275e28ac0f000b4345169ce85f766ec80d6b13f740f6927d9dd9a46,0,0,0,1021,0.3193,40555357488bece90bda3f00e94fd185,725,1677,2419
../../../dumps\crash-20260815-200514\SUPERVIVE-Win64-Shipping.exec_0x7FFA423E0000_D000.bin,crash-20260815-200514,0x7ffa423e0000,0xd000,53248,22cb6e607b4fc5e5f1253d8041627f96d7eb121eb45f31bae34089a224694e4e,0,0,0,39488,5.6816,41c1c1034123c133c24103c3458b5a18,1275,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x29785E30000_10000.bin,crash-20260819-181559,0x29785e30000,0x10000,65536,44c114a92a5560c2ae646384d4d38a0ac354534c7b65ad702420f5d6a62357d5,0,0,0,28560,3.7551,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x2978A600000_10000.bin,crash-20260819-181559,0x2978a600000,0x10000,65536,8a9cd57cc9b15e6df93cde56f475daa64d6011f5533807d2cd14aef562df17b6,0,0,0,22809,3.1619,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FDEB0000_1000.bin,crash-20260819-181559,0x298fdeb0000,0x1000,4096,4e59c755550c911103dd09487b71de958ac557b02f0480df008c19d9a38af68d,0,0,0,68,0.1969,48b90020f8fd9802000048ba7d010000,2012,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FDF60000_25000.bin,crash-20260819-181559,0x298fdf60000,0x25000,151552,56765f34a13436bde578f34facf59ed957291d6f335aed4b84d5f778ba75e814,1,1,0,103657,6.2640,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FE120000_1000.bin,crash-20260819-181559,0x298fe120000,0x1000,4096,0890d0c3e327e9741bcce1191e531efbc6b85be36beea24a01ad0c27f65b1b1d,0,0,0,68,0.1964,48b9009041fe9802000048ba96010000,2012,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FE1F0000_1000.bin,crash-20260819-181559,0x298fe1f0000,0x1000,4096,f50e87086f45abe997e52da53c1b693a82693784853db3739bcc6e1caca02198,0,0,0,68,0.1969,48b900202efe9802000048ba7d010000,2012,4096,0
../../../dumps\crash-20260819-181559\SUPERVIVE-Win64-Shipping.exec_0x298FE2C0000_25000.bin,crash-20260819-181559,0x298fe2c0000,0x25000,151552,96bc14ac5a00055a5a919a66cbdcdabddeffe9615b628172ed56d8249a61cea4,1,1,0,103656,6.2640,4d5a90000300000004000000ffff0000,6,12,4084
