t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
34.361,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.613,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.866,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.118,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.370,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.623,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.876,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.128,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.380,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.632,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.885,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.137,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.389,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.642,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.895,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.146,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.398,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.651,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.903,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.157,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.408,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.661,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.912,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.164,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.417,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.670,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.923,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.175,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.427,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.681,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.934,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.186,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.439,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.690,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.942,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.195,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.447,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.700,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.951,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.203,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.456,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.709,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.962,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.216,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.469,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.722,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.975,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.228,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.481,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.734,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.986,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.237,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.489,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.741,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.993,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.246,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.499,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.752,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.003,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.255,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.507,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.760,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.012,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.265,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.517,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.769,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.021,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.301,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.553,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.805,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.057,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.309,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.563,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.815,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.068,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.320,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.572,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.824,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.077,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.330,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.581,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.833,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.086,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.338,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.589,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.842,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.094,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.346,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.600,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.851,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.105,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.357,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.609,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.861,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.113,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.367,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.619,sweep,,,,,,,,,,,,,live=182488 free=8360 reachbit=0 bit30=21.6
58.871,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=0 bit30=22.2
59.123,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=0 bit30=22.2
59.376,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=0 bit30=22.2
59.628,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=0 bit30=22.2
59.881,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=0 bit30=22.2
60.133,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
60.386,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
60.639,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
60.892,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
61.144,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
61.408,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
61.661,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
61.914,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
62.168,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
62.420,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
62.672,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
62.925,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
63.178,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
63.431,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
63.683,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
63.935,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
64.188,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
64.440,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
64.692,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
64.945,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
65.198,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
65.450,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
65.702,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
65.954,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
66.207,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
66.459,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
66.711,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
66.962,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
67.215,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=0 bit30=22.2
