[0] catalog_purchasable_fix worker started
[hb] catMgr=0x1CC7CC3E080 iters=2704 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2721 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2738 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2755 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2772 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2789 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2806 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2823 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2840 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2857 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2874 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2891 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2908 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2925 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2942 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2959 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2976 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=2993 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3010 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3027 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3044 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3061 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3078 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3095 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3112 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3129 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3146 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3163 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3180 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3197 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3214 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3231 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3248 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3265 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=3282 lastPoked=1355
