rva,section,recorded_name,proposed_name,proposed_class,confidence,verdict,name_check,fn_entry,fn_offset,fn_tier,fn_extent,n_strings,evidence,why,record_kind,n_sources,sources,recorded_alts,sample_context
0x02D49B1,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02D4000 is all-zero in this dump (never decrypted),bare,1,docs/scan-shim-marker.txt,,[apc] scan type_fname=0x2D49B1 base=0x1A31F19EE80 -> added=0
0x02EFC99,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02EF000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolWeeklyChallenge          = 0x002EFC99;
0x02F52FC,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02F5000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolWeeklyChallenge_Planbee  = 0x002F52FC;
0x02FA99A,.text,DA_MissionPoolWeeklyChallenge,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x02FA000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [13/16] calling AddDynamicAsset for DA_MissionPoolWeeklyChallenge (id-Name=0x002FA99A pkg=0x00292B55 cls=0x0011CE60)
0x03000F1,.text,DA_MissionPoolWeeklyChallenge_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0300000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [14/16] calling AddDynamicAsset for DA_MissionPoolWeeklyChallenge_Planbee (id-Name=0x003000F1 pkg=0x0053C539 cls=0x0031005C)
0x030AD97,.text,DA_MissionPoolOnboarding,,,,INTERIOR,NO-NAME-EVIDENCE,0x030A1A0,+0xBF7,MED-heuristic,39664,0,,,bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 9/16] calling AddDynamicAsset for DA_MissionPoolOnboarding (id-Name=0x0025D3CE pkg=0x0030AD97 cls=0x0023E848)
0x031005C,.text,DA_MissionPoolWeeklyChallenge_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0310000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [14/16] calling AddDynamicAsset for DA_MissionPoolWeeklyChallenge_Planbee (id-Name=0x003000F1 pkg=0x0053C539 cls=0x0031005C)
0x032397C,.text,FNames,,,,INTERIOR,NO-NAME-EVIDENCE,0x031E9A0,+0x4FDC,MED-heuristic,41408,0,,,bare,1,docs/session-49-click-center-offline-model.txt,,"Hero FName type id = 0x1A568 (constant). Hero name FNames are stable this session (alchemist=0x32397C,"
0x0323C6B,.text,,,,,INTERIOR,NO-RECORDED-NAME,0x031E9A0,+0x52CB,MED-heuristic,41408,0,,,bare,1,docs/catalog-probe-marker.txt,,[dump]  [0] key.Type=0x1A568 key.Name=0x323C6B val=0x2106FB6B140 [val+0xc]=0x280031
0x0326FA7,.text,BP_HeroAsset_Alchemist_C,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0326000 is all-zero in this dump (never decrypted),bare,2,docs/missions-nativecall9-marker.txt;docs/session-57-da-resolution.txt,GetLokiDataAsset,"[4] CONTROL Hero: id={Type=Hero Name=Alchemist} raw={0x1A568,0x326FA7} DA=0x14612A71640 class='BP_HeroAsset_Alchemist_C'"
0x0330072,.text,DA_MissionPoolWeekly,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0330000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [12/16] calling AddDynamicAsset for DA_MissionPoolWeekly (id-Name=0x00268463 pkg=0x00330072 cls=0x0019BDAF)
0x033375F,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0333000 is all-zero in this dump (never decrypted),bare,1,docs/scan-on-browse-marker.txt,,[scan] type_fname=0x33375F -> added=961
0x0333962,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0333000 is all-zero in this dump (never decrypted),bare,1,docs/scan-shim-marker.txt,,[apc] scan type_fname=0x333962 base=0x1A31E3F1000 -> added=961
0x034A90E,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x034A000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolDailyChallenge_Planbee   = 0x0034A90E;
0x03558A4,.text,DA_MissionPoolDailyChallenge_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0355000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 3/16] calling AddDynamicAsset for DA_MissionPoolDailyChallenge_Planbee (id-Name=0x003558A4 pkg=0x00431EF1 cls=0x004E8B18)
0x0360136,.text,DA_MissionPoolDailyEasy,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0360000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 4/16] calling AddDynamicAsset for DA_MissionPoolDailyEasy (id-Name=0x002A7E5A pkg=0x00360136 cls=0x005172C5)
0x0368000,.text,VirtualQuery,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0368000 is all-zero in this dump (never decrypted),bare,1,docs/mount-shim-marker.txt,,[gametid] VirtualQuery: ret=48 base=00007FF669419000 regsize=0x368000 state=0x1000 protect=0x8 type=0x40000
0x038FE89,.text,AssaultDefault,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x038F000 is all-zero in this dump (never decrypted),bare,2,docs/session-79-moonshot-plan.md;memory/supervive-dedicated-server-status.md,RefreshCosmetics;PrimaryAssetIDFromString;HeroCosmeticsBundle,"skin = **`AssaultDefault`**. `PrimaryAssetIDFromString(""HeroCosmeticsBundle:AssaultDefault"")` = {type 0x1A572, name 0x38FE89}."
