t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
37.653,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.906,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.159,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.410,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.662,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.914,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.167,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.419,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.672,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.925,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.178,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.431,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.682,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.934,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.186,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.438,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.691,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.943,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.195,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.447,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.700,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.951,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.204,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.457,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.709,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.962,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.215,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.468,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.721,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.974,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.228,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.480,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.733,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
45.987,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.240,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.492,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.745,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
46.998,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.249,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.503,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
47.755,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.007,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.258,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.510,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
48.763,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.015,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.267,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.520,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
49.773,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.025,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.278,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.530,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
50.783,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.034,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.287,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.540,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
51.792,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.045,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.298,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.551,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
52.804,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.056,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.308,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.561,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
53.814,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.067,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.318,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.570,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
54.823,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.075,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.329,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.583,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
55.836,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.088,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.341,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.594,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
56.846,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.099,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.352,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.604,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
57.858,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
58.110,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.362,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.614,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
58.866,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=0 bit30=21.2
59.118,sweep,,,,,,,,,,,,,live=180024 free=10824 reachbit=0 bit30=21.8
59.371,sweep,,,,,,,,,,,,,live=177160 free=13688 reachbit=0 bit30=22.2
59.624,sweep,,,,,,,,,,,,,live=177160 free=13688 reachbit=0 bit30=22.2
59.876,sweep,,,,,,,,,,,,,live=177160 free=13688 reachbit=0 bit30=22.2
60.128,sweep,,,,,,,,,,,,,live=177160 free=13688 reachbit=0 bit30=22.2
60.379,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
60.632,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
60.883,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
61.136,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
61.388,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
61.640,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
61.893,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
62.145,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
62.398,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
62.651,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
62.905,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
63.157,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
63.410,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
63.662,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
63.914,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
64.167,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
64.419,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
64.671,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
64.923,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
65.176,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
65.428,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
65.680,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
65.933,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
66.185,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
66.438,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
66.690,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
66.942,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
67.195,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
67.446,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
67.699,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
67.952,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
68.204,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
68.457,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
68.712,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
68.965,sweep,,,,,,,,,,,,,live=177168 free=13680 reachbit=0 bit30=22.2
