guid,mtime,secs,crashtype,pid,base,frame0mod,frame0,nframes,chain,err,engine,note
UECC-Windows-7AE9830F497A53DAC0CFF48F528FAE09_0000,1783001832.9162617,31,Crash,46388,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF6853EF591,13,296f591 296f247 2973685 29c99ee 2aef879 2af41ca 2aefd3f f8aba3 f96a8e 2b91aab 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000028,5.4.3-0+UE5,
UECC-Windows-7C51644F4CDD6B0F14B78D9153539BEA_0000,1782849834.5191934,22,Crash,56524,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF688204619,18,5784619 57a64c5 1770c08 177f885 177b5ba 178cc22 fa8275 fb2123 fa4cdc fa822f fb2123 40292dc 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-7CA4222D402D8CEFE327799B410574B4_0000,1783581254.4049194,277,Assert,68556,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: ALokiGameMode::Login failed to Login,5.4.3-0+UE5,
UECC-Windows-7E6FDF974F655E383E5FAD99500869C5_0000,1785058765.0468152,173,Crash,22832,0x7FF6E7D30000,SUPERVIVE-Win64-Shipping,0x7FF6EB98DC52,13,3c5dc52 3c5d255 3c34b22 3c596b3 39c7884 37f8b8c 4028924 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000700,5.4.3-0+UE5,
UECC-Windows-838C7D984314FC29C224F0AE1DE1ABFA_0000,1783839390.0926898,259,Crash,16740,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B6835FF8,31,1345ff8 534c16e feca12 1225fd6 13453a5 341721b 36a1aa3 36a1bdc 36a412b 36a339a 35aa803 3ed1a7f 3ed8642 f96a8e f9ce6a 3eeedd4 3ef3e65 39c76c6 37f8b8c 4028924 403005f 40300da 4030f6c 4039696 751ef62,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000000,5.4.3-0+UE5,
UECC-Windows-83E3410A4E6EA6C10784CC8A1C54D985_0000,1783715049.460338,0,Crash,108204,0x0,mdnsNSP,0x27E490E205D,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000027e8de40000,5.4.3-0+UE5,
UECC-Windows-844A28464EBA92F39C30048162EDA529_0000,1783798363.2173123,288,Assert,80916,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: PlayerState is null,5.4.3-0+UE5,
UECC-Windows-858B6F07479DB1B45F1B07B72F98427B_0000,1783719703.596492,0,Crash,59220,0x0,mdnsNSP,0x22C761D205D,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000022c26245000,5.4.3-0+UE5,
UECC-Windows-8C3ECC714EBF9A48B589F2B498B3827A_0000,1783563580.6223142,0,Crash,98380,0x0,mdnsNSP,0x1856CA8205D,2,,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x00000185232a2000,5.4.3-0+UE5,
UECC-Windows-8F0E05BF44D2C173BF310D8C0E780153_0000,1785049906.9723122,196,Crash,34144,0x7FF6E7D30000,SUPERVIVE-Win64-Shipping,0x7FF6EB1A13AA,16,34713aa 3496da2 34178ba 3405efc 3691a72 3691704 367b462 f84697 f873b3 f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000000000044,5.4.3-0+UE5,
UECC-Windows-904ED124429008C01E3C64B0128C22C9_0000,1782783921.6924725,15,Assert,66364,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A60148,13,fe0148 ff933e 32bcbee 3ec6312 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\HAL\MallocBinned2.cpp] [Line: 1322] FMallocBinned2 Attempt to realloc an unrecognized block 000001D737920000 canary == 0x0 != 0xe3,5.4.3-0+UE5,
UECC-Windows-9273A8144DCC5E6BD0A6C69274682E66_0000,1783738063.1597693,30,Assert,75088,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: ALokiGameMode::Login failed to Login,5.4.3-0+UE5,
UECC-Windows-9605A1664EA5B524E5DFDD93F82E1411_0000,1782883372.411579,43,Crash,26544,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A624EE,17,fe24ee faf9e8 f99359 2ba5155 2b9c549 2576a72 2590a59 2b47821 108834d 106c57f f8b2be f9d9bc f87040 100c334 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x0000000900000000,5.4.3-0+UE5,
UECC-Windows-980F69E94DCDC0D315C37398BE501B00_0000,1783740488.425968,264,Assert,47700,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: PlayerState is null,5.4.3-0+UE5,
UECC-Windows-98C5085946BE678E21D80AA0CB3B6FC8_0000,1783739518.5256674,654,Assert,35100,0x7FF6B54F0000,SUPERVIVE-Win64-Shipping,0x7FF6B93D9CF5,11,3ee9cf5 3ec5faf 3efb466 37f8b73 4028924 403005f 40300da 4030f6c 4039696 751ef62,Fatal error: [File:C:\TheoryCraft\build-staging\Engine\Source\Runtime\Engine\Private\UnrealEngine.cpp] [Line: 15551] Couldn&apos;t spawn player: PlayerState is null,5.4.3-0+UE5,
UECC-Windows-9B00C58844AD45B5CE9A0FB09C146ECA_0000,1782890706.0436275,30,Crash,45664,0x7FF682A80000,SUPERVIVE-Win64-Shipping,0x7FF683A61746,27,fe1746 2b8e7c5 2b8ebe8 2b8e17e 2b804b9 12158f2 120c6d9 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 120c6c3 120bf7e 1204e25 12143e3 115ed67 115c4b1,Unhandled Exception: EXCEPTION_ACCESS_VIOLATION reading address 0x00000001e3010020,5.4.3-0+UE5,
