t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,AccX,AccY,AccZ,CIV1x,CIV1y,CIV1z,CIV2x,CIV2y,CIV2z,CIV3x,CIV3y,CIV3z,CIVmaxMag2D,Mode,GravScale,AnalogMod,AirCtl,AirCtlBoost,AirCtlThr,FallLatFr
4.204,1788986291.537,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.331,1788986291.664,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.433,1788986291.766,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.547,1788986291.880,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.650,1788986291.983,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.753,1788986292.086,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.872,1788986292.205,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
4.975,1788986292.308,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
5.105,1788986292.438,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
5.230,1788986292.563,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
