t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,Vel2D,AccX,AccY,AccZ,Acc2D,CIVmaxMag2D,Mode,GravScale,AnalogMod,TSFS,Gate,Living,F08,RandX,RandY
193.467,1788986937.713,2505.167,-999.180,-4429.185,12.862,-6.606,-1000.000,14.459,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,4.6700,1,1,0x200265E1710,-0.977,0.211
193.593,1788986937.839,2506.707,-999.971,-4555.073,11.705,-6.012,-1000.000,13.159,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,4.7913,1,1,0x200265E1710,-0.977,0.211
193.696,1788986937.942,2507.880,-1000.573,-4659.558,10.825,-5.559,-1000.000,12.169,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,4.8999,1,1,0x200265E1710,-0.977,0.211
193.804,1788986938.048,2509.012,-1001.154,-4768.837,9.974,-5.122,-1000.000,11.212,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.0085,1,1,0x200265E1710,-0.977,0.211
193.905,1788986938.151,2509.973,-1001.648,-4869.164,9.252,-4.752,-1000.000,10.401,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.1085,1,1,0x200265E1710,-0.977,0.211
194.026,1788986938.272,2511.035,-1002.193,-4989.511,8.455,-4.342,-1000.000,9.505,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.2286,1,1,0x200265E1710,-0.977,0.211
194.129,1788986938.375,2511.876,-1002.625,-5093.357,7.822,-4.017,-1000.000,8.794,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.3320,1,1,0x200265E1710,-0.977,0.211
194.252,1788986938.497,2512.793,-1003.096,-5216.520,7.133,-3.663,-1000.000,8.019,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.4570,1,1,0x200265E1710,-0.977,0.211
194.354,1788986938.601,2513.497,-1003.458,-5319.465,6.604,-3.392,-1000.000,7.424,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.5617,1,1,0x200265E1710,-0.977,0.211
194.486,1788986938.732,2514.329,-1003.885,-5452.122,5.980,-3.071,-1000.000,6.722,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.6895,1,1,0x200265E1710,-0.977,0.211
194.593,1788986938.839,2514.946,-1004.201,-5559.842,5.516,-2.833,-1000.000,6.201,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.7969,1,1,0x200265E1710,-0.977,0.211
194.696,1788986938.942,2515.493,-1004.483,-5663.415,5.105,-2.622,-1000.000,5.738,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,5.8959,1,1,0x200265E1710,-0.977,0.211
194.802,1788986939.047,2515.996,-1004.741,-5766.032,4.727,-2.428,-1000.000,5.314,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.0046,1,1,0x200265E1710,-0.977,0.211
194.905,1788986939.149,2516.489,-1004.994,-5875.154,4.356,-2.237,-1000.000,4.897,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.1069,1,1,0x200265E1710,-0.977,0.211
195.026,1788986939.273,2516.976,-1005.244,-5992.116,3.991,-2.050,-1000.000,4.487,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.2305,1,1,0x200265E1710,-0.977,0.211
195.152,1788986939.397,2517.468,-1005.497,-6122.109,3.621,-1.860,-1000.000,4.070,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.3572,1,1,0x200265E1710,-0.977,0.211
195.255,1788986939.501,2517.833,-1005.684,-6227.076,3.347,-1.719,-1000.000,3.763,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.4618,1,1,0x200265E1710,-0.977,0.211
195.377,1788986939.622,2518.221,-1005.884,-6348.923,3.055,-1.569,-1000.000,3.435,-48870.161,10569.170,0.000,50000.0,1.0000,3,1.0000,1.0000,6.5791,1,1,0x200265E1710,-0.977,0.211
195.485,1788986939.731,2518.539,-1006.047,-6457.648,2.816,-1.446,-1000.000,3.166,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,6.6916,1,1,0x200265E1710,-0.406,0.914
195.588,1788986939.835,2518.815,-1006.189,-6559.992,2.609,-1.340,-1000.000,2.933,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,6.7936,1,1,0x200265E1710,-0.406,0.914
195.709,1788986939.955,2519.111,-1006.341,-6679.031,2.386,-1.226,-1000.000,2.683,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,6.9122,1,1,0x200265E1710,-0.406,0.914
195.813,1788986940.060,2519.350,-1006.463,-6783.247,2.207,-1.134,-1000.000,2.481,-20315.225,45686.887,0.000,50000.0,1.0000,3,1.0000,1.0000,7.0203,1,1,0x200265E1710,-0.406,0.914
